Tree,GroupParent,GroupRead,GroupModify,GroupDescription,RealPath,,,,,,
\7_KSGKOZOS\72_KEPZES,ACCELMU-NKM-KSG-7_KSGKOZOS-READ,ACCELMU-NKM-KSG-7_KSGKOZOS-72_KEPZES-READ,empty,\\aekpfp01\KSG\7_KSGKOZOS\72_KEPZES,M:\MNT-NKM-KSG\7_KSGKOZOS\72_KEPZES,,,,,,
\7_KSGKOZOS\73_RIPORT,ACCELMU-NKM-KSG-7_KSGKOZOS-READ,ACCELMU-NKM-KSG-7_KSGKOZOS-73_RIPORT-READ,empty,\\aekpfp01\KSG\7_KSGKOZOS\73_RIPORT,M:\MNT-NKM-KSG\7_KSGKOZOS\73_RIPORT,,,,,,
\7_KSGKOZOS\75_ALKALM,ACCELMU-NKM-KSG-7_KSGKOZOS-READ,ACCELMU-NKM-KSG-7_KSGKOZOS-75_ALKALM-READ,empty,\\aekpfp01\KSG\7_KSGKOZOS\75_ALKALM,M:\MNT-NKM-KSG\7_KSGKOZOS\75_ALKALM,,,,,,
\7_KSGKOZOS\75_VELEME,ACCELMU-NKM-KSG-7_KSGKOZOS-READ,ACCELMU-NKM-KSG-7_KSGKOZOS-75_VELEME-READ,empty,\\aekpfp01\KSG\7_KSGKOZOS\75_VELEME,M:\MNT-NKM-KSG\7_KSGKOZOS\75_VELEME,,,,,,
\7_KSGKOZOS\76_ARIS,ACCELMU-NKM-KSG-7_KSGKOZOS-READ,ACCELMU-NKM-KSG-7_KSGKOZOS-76_ARIS-READ,empty,\\aekpfp01\KSG\7_KSGKOZOS\76_ARIS,M:\MNT-NKM-KSG\7_KSGKOZOS\76_ARIS,,,,,,
\8_PROJEKT,ACCELMU-NKM-KSG-READ,ACCELMU-NKM-KSG-8_PROJEKT-READ,empty,\\aekpfp01\KSG\8_PROJEKT,M:\MNT-NKM-KSG\8_PROJEKT,,,,,,
\9_VEZETES\91_BIZALM,ACCELMU-NKM-KSG-9_VEZETES-READ,ACCELMU-NKM-KSG-9_VEZETES-91_BIZALM-READ,empty,\\aekpfp01\KSG\9_VEZETES\91_BIZALM,M:\MNT-NKM-KSG\9_VEZETES\91_BIZALM,,,,,,
\9_VEZETES\92_KOZOS,ACCELMU-NKM-KSG-9_VEZETES-READ,ACCELMU-NKM-KSG-9_VEZETES-92_KOZOS-READ,empty,\\aekpfp01\KSG\9_VEZETES\92_KOZOS,M:\MNT-NKM-KSG\9_VEZETES\92_KOZOS,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
